decision_step,episode_id,action,reward,done,obs_json,next_obs_json
46,1,1,-0.0,False,"[0.0, 9.196933194415708e-18, 0.0, 0.0, 0.0, 0.06522861123085022, 0.0, 0.12666666507720947, 1.0]","[0.0, 7.338441048602156e-21, 0.0, 0.0, 0.0, 0.04174631088972092, 0.0, 0.1599999964237213, 1.0]"
47,1,1,-1.7487782955169677,False,"[0.0, 7.338441048602156e-21, 0.0, 0.0, 0.0, 0.04174631088972092, 0.0, 0.1599999964237213, 1.0]","[0.0, 4.984939732821658e-05, 0.03401938080787659, 0.03401938080787659, 0.0, 0.10671763867139816, 0.0, 0.19333332777023315, 1.0]"
48,1,1,-6.933925712108612,False,"[0.0, 4.984939732821658e-05, 0.03401938080787659, 0.03401938080787659, 0.0, 0.10671763867139816, 0.0, 0.19333332777023315, 1.0]","[0.0, 3.977596207960232e-08, 0.08052535355091095, 0.08052535355091095, 0.0, 0.06829928606748581, 0.0, 0.2266666740179062, 1.0]"
49,1,1,-12.75597940683365,False,"[0.0, 3.977596207960232e-08, 0.08052535355091095, 0.08052535355091095, 0.0, 0.06829928606748581, 0.0, 0.2266666740179062, 1.0]","[0.0, 3.173814336343561e-11, 0.12963134050369263, 0.12963134050369263, 0.0, 0.04371154308319092, 0.0, 0.25999999046325684, 1.0]"
50,1,1,-18.57192381620407,False,"[0.0, 3.173814336343561e-11, 0.12963134050369263, 0.12963134050369263, 0.0, 0.04371154308319092, 0.0, 0.25999999046325684, 1.0]","[0.0, 2.53245825866796e-14, 0.17588064074516296, 0.17588064074516296, 0.0, 0.02797538787126541, 0.0, 0.2933333218097687, 1.0]"
51,1,1,-14.238745836416879,False,"[0.0, 2.53245825866796e-14, 0.17588064074516296, 0.17588064074516296, 0.0, 0.02797538787126541, 0.0, 0.2933333218097687, 1.0]","[0.0, 0.0015332353068515658, 0.0910453125834465, 0.22112444043159485, 0.0, 0.2179042547941208, 0.0, 0.3266666531562805, 1.0]"
52,1,1,-10.042450362443924,False,"[0.0, 0.0015332353068515658, 0.0910453125834465, 0.22112444043159485, 0.0, 0.2179042547941208, 0.0, 0.3266666531562805, 1.0]","[0.0, 1.2234031601110473e-06, 0.07831761240959167, 0.08056443184614182, 0.0, 0.13945871591567993, 0.0, 0.36000001430511475, 1.0]"
53,1,1,-12.27677491903305,False,"[0.0, 1.2234031601110473e-06, 0.07831761240959167, 0.08056443184614182, 0.0, 0.13945871591567993, 0.0, 0.36000001430511475, 1.0]","[0.0, 9.76181135925458e-10, 0.12157882750034332, 0.12157882750034332, 0.0, 0.08925358206033707, 0.0, 0.3933333456516266, 1.0]"
54,1,1,-16.992864871025084,False,"[0.0, 9.76181135925458e-10, 0.12157882750034332, 0.12157882750034332, 0.0, 0.08925358206033707, 0.0, 0.3933333456516266, 1.0]","[0.0, 7.789170241960519e-13, 0.16012857854366302, 0.16012857854366302, 0.0, 0.05712229013442993, 0.0, 0.4266666769981384, 1.0]"
55,1,1,-9.452806471586229,False,"[0.0, 7.789170241960519e-13, 0.16012857854366302, 0.16012857854366302, 0.0, 0.05712229013442993, 0.0, 0.4266666769981384, 1.0]","[0.10000000149011612, 0.07279782742261887, 0.05493782088160515, 0.19952833652496338, 0.0, 0.31655827164649963, 0.0, 0.46000000834465027, 1.0]"
